Date,Low,High,Open,Close,Volume
2014-09-11,5.23,5.555,5.284,5.2601,137453.7
2014-09-10,5.0,5.68,5.00095,5.27002,212872.8
2014-09-09,4.93042,5.09218,5.058,5.00095,87554.73
2014-09-08,4.86318,5.189,5.136,5.0254,154913.6
2014-09-07,4.951,5.22121,4.951,5.136,111481.0
2014-09-06,4.85,5.04129,4.94458,4.98655,64625.87
2014-09-05,4.8952,5.206,5.146,4.94791,83362.4
2014-09-04,4.817,5.3,4.84599,5.146,176577.3
2014-09-03,4.72299,4.92,4.80092,4.848,72554.01
2014-09-02,4.60502,4.9489,4.7,4.767,236646.2
2014-09-01,4.7,4.99,4.846,4.70001,111124.7
2014-08-31,4.7505,5.2,5.1511,4.846,647484.6
2014-08-30,5.07929,5.418,5.322,5.189,96741.56
2014-08-29,5.1,5.439,5.25875,5.34765,109812.7
2014-08-28,5.051,5.48,5.369,5.25875,205674.7
2014-08-27,5.25,5.89732,5.52328,5.369,317584.6
2014-08-26,5.16037,5.64,5.19214,5.52328,184910.1
2014-08-25,5.07781,5.4538,5.39073,5.19214,187535.7
2014-08-24,4.78011,5.74,4.86448,5.39073,478566.1
2014-08-23,4.66,5.27,5.2,4.86448,323459.8
2014-08-22,4.9001,5.78531,5.71536,5.2,520759.2
2014-08-21,5.423,6.19,5.49099,5.71536,629246.5
2014-08-20,4.325,5.7352,4.61,5.445,719443.7
2014-08-19,3.40491,4.89895,3.57202,4.67738,655190.7
2014-08-18,3.333,4.39086,4.29488,3.57202,724079.2
2014-08-17,4.16,4.99502,4.941,4.2948,322003.2
2014-08-16,4.85,5.1,5.06,4.941,104558.3
2014-08-15,4.9,5.19988,5.02549,5.05033,118508.8
2014-08-14,4.755,5.35,5.0,5.055,343808.5
2014-08-13,4.667,5.76,5.65122,5.00567,584418.7
2014-08-12,4.85,6.061,6.011,5.65122,358547.8
2014-08-11,5.75,6.91999,6.89,6.04,304226.5
