date,close,osef,osef,osef,osef,close
31/12/2014,1.2099,1.2154,1.2171,1.2095,-0.49%,1.2099
30/12/2014,1.2158,1.2150,1.2188,1.2122,0.05%,1.2158
29/12/2014,1.2152,1.2181,1.2221,1.2141,-0.13%,1.2152
28/12/2014,1.2168,1.2181,1.2184,1.2167,-0.07%,1.2168
26/12/2014,1.2176,1.2222,1.2228,1.2167,-0.38%,1.2176
25/12/2014,1.2223,1.2194,1.2255,1.2184,0.24%,1.2223
24/12/2014,1.2194,1.2171,1.2222,1.2168,0.18%,1.2194
23/12/2014,1.2172,1.2229,1.2247,1.2164,-0.47%,1.2172
22/12/2014,1.2230,1.2225,1.2273,1.2214,0.04%,1.2230
21/12/2014,1.2225,1.2227,1.2227,1.2220,-0.02%,1.2225
19/12/2014,1.2228,1.2285,1.2305,1.2219,-0.47%,1.2228
18/12/2014,1.2286,1.2341,1.2353,1.2264,-0.46%,1.2286
17/12/2014,1.2343,1.2510,1.2517,1.2320,-1.34%,1.2343
16/12/2014,1.2511,1.2435,1.2571,1.2431,0.59%,1.2511
15/12/2014,1.2437,1.2461,1.2486,1.2413,-0.22%,1.2437
14/12/2014,1.2464,1.2470,1.2478,1.2457,0.02%,1.2464
12/12/2014,1.2462,1.2411,1.2487,1.2382,0.41%,1.2462
11/12/2014,1.2411,1.2446,1.2496,1.2368,-0.30%,1.2411
10/12/2014,1.2448,1.2373,1.2449,1.2360,0.59%,1.2448
09/12/2014,1.2375,1.2316,1.2448,1.2291,0.47%,1.2375
08/12/2014,1.2317,1.2277,1.2344,1.2245,0.19%,1.2317
07/12/2014,1.2294,1.2290,1.2303,1.2282,0.07%,1.2294
05/12/2014,1.2286,1.2379,1.2393,1.2271,-0.75%,1.2286
04/12/2014,1.2379,1.2311,1.2458,1.2280,0.55%,1.2379
03/12/2014,1.2311,1.2381,1.2391,1.2299,-0.58%,1.2311
02/12/2014,1.2383,1.2469,1.2478,1.2375,-0.70%,1.2383
01/12/2014,1.2470,1.2455,1.2507,1.2418,0.27%,1.2470
30/11/2014,1.2436,1.2448,1.2465,1.2432,-0.13%,1.2436
28/11/2014,1.2452,1.2466,1.2492,1.2425,-0.12%,1.2452
27/11/2014,1.2467,1.2505,1.2524,1.2463,-0.31%,1.2467
26/11/2014,1.2506,1.2474,1.2532,1.2442,0.26%,1.2506
25/11/2014,1.2474,1.2442,1.2487,1.2400,0.25%,1.2474
24/11/2014,1.2443,1.2376,1.2445,1.2357,0.57%,1.2443
23/11/2014,1.2372,1.2363,1.2363,1.2363,-0.15%,1.2372
21/11/2014,1.2390,1.2538,1.2571,1.2373,-1.19%,1.2390
20/11/2014,1.2539,1.2553,1.2576,1.2503,-0.12%,1.2539
19/11/2014,1.2554,1.2536,1.2600,1.2511,0.14%,1.2554
18/11/2014,1.2537,1.2449,1.2546,1.2441,0.70%,1.2537
17/11/2014,1.2450,1.2525,1.2578,1.2443,-0.57%,1.2450
16/11/2014,1.2521,1.2532,1.2536,1.2514,-0.02%,1.2521
14/11/2014,1.2524,1.2475,1.2549,1.2397,0.38%,1.2524
13/11/2014,1.2476,1.2438,1.2492,1.2424,0.30%,1.2476
12/11/2014,1.2439,1.2475,1.2499,1.2417,-0.29%,1.2439
11/11/2014,1.2475,1.2420,1.2500,1.2393,0.43%,1.2475
10/11/2014,1.2421,1.2451,1.2510,1.2416,-0.31%,1.2421
09/11/2014,1.2460,1.2472,1.2481,1.2460,0.05%,1.2460
07/11/2014,1.2454,1.2373,1.2471,1.2357,0.64%,1.2454
06/11/2014,1.2375,1.2485,1.2535,1.2363,-0.89%,1.2375
05/11/2014,1.2486,1.2545,1.2568,1.2456,-0.48%,1.2486
04/11/2014,1.2546,1.2481,1.2578,1.2480,0.50%,1.2546
03/11/2014,1.2483,1.2515,1.2517,1.2441,-0.15%,1.2483
02/11/2014,1.2502,1.2507,1.2514,1.2502,-0.18%,1.2502
31/10/2014,1.2525,1.2612,1.2617,1.2484,-0.70%,1.2525
30/10/2014,1.2613,1.2630,1.2640,1.2546,-0.15%,1.2613
29/10/2014,1.2632,1.2733,1.2772,1.2629,-0.80%,1.2632
28/10/2014,1.2734,1.2698,1.2765,1.2683,0.28%,1.2734
27/10/2014,1.2698,1.2681,1.2725,1.2664,0.17%,1.2698
26/10/2014,1.2676,1.2669,1.2686,1.2669,0.04%,1.2676
24/10/2014,1.2671,1.2645,1.2695,1.2633,0.19%,1.2671
23/10/2014,1.2647,1.2648,1.2678,1.2612,-0.02%,1.2647
22/10/2014,1.2649,1.2715,1.2740,1.2635,-0.52%,1.2649
21/10/2014,1.2715,1.2800,1.2840,1.2712,-0.66%,1.2715
20/10/2014,1.2799,1.2757,1.2817,1.2730,0.40%,1.2799
19/10/2014,1.2748,1.2752,1.2760,1.2737,-0.12%,1.2748
17/10/2014,1.2763,1.2809,1.2837,1.2742,-0.37%,1.2763
16/10/2014,1.2810,1.2835,1.2847,1.2704,-0.21%,1.2810
15/10/2014,1.2837,1.2658,1.2886,1.2623,1.41%,1.2837
14/10/2014,1.2659,1.2751,1.2769,1.2639,-0.74%,1.2659
13/10/2014,1.2753,1.2636,1.2762,1.2618,0.89%,1.2753
12/10/2014,1.2640,1.2623,1.2648,1.2621,0.10%,1.2640
10/10/2014,1.2628,1.2690,1.2716,1.2604,-0.50%,1.2628
09/10/2014,1.2691,1.2732,1.2792,1.2663,-0.34%,1.2691
08/10/2014,1.2734,1.2668,1.2749,1.2621,0.51%,1.2734
07/10/2014,1.2670,1.2654,1.2683,1.2582,0.13%,1.2670
06/10/2014,1.2654,1.2507,1.2676,1.2502,1.13%,1.2654
05/10/2014,1.2513,1.2515,1.2516,1.2509,-0.03%,1.2513
03/10/2014,1.2517,1.2667,1.2676,1.2499,-1.20%,1.2517
02/10/2014,1.2669,1.2621,1.2698,1.2612,0.36%,1.2669
01/10/2014,1.2624,1.2630,1.2640,1.2583,-0.06%,1.2624
30/09/2014,1.2632,1.2683,1.2703,1.2570,-0.42%,1.2632
29/09/2014,1.2685,1.2684,1.2716,1.2663,0.08%,1.2685
28/09/2014,1.2675,1.2683,1.2684,1.2667,-0.08%,1.2675
26/09/2014,1.2685,1.2750,1.2761,1.2675,-0.52%,1.2685
25/09/2014,1.2751,1.2779,1.2785,1.2697,-0.23%,1.2751
24/09/2014,1.2780,1.2845,1.2864,1.2773,-0.52%,1.2780
23/09/2014,1.2847,1.2849,1.2903,1.2840,-0.02%,1.2847
22/09/2014,1.2850,1.2826,1.2868,1.2814,0.08%,1.2850
21/09/2014,1.2840,1.2831,1.2845,1.2827,0.09%,1.2840
19/09/2014,1.2829,1.2922,1.2930,1.2826,-0.73%,1.2829
18/09/2014,1.2923,1.2864,1.2931,1.2833,0.44%,1.2923
17/09/2014,1.2866,1.2958,1.2981,1.2850,-0.73%,1.2866
16/09/2014,1.2960,1.2937,1.2995,1.2921,0.15%,1.2960
15/09/2014,1.2941,1.2975,1.2981,1.2907,-0.15%,1.2941
14/09/2014,1.2960,1.2956,1.2974,1.2956,-0.04%,1.2960
12/09/2014,1.2965,1.2924,1.2980,1.2908,0.30%,1.2965
11/09/2014,1.2926,1.2916,1.2952,1.2895,0.07%,1.2926
10/09/2014,1.2917,1.2935,1.2963,1.2882,-0.15%,1.2917
09/09/2014,1.2937,1.2896,1.2959,1.2858,0.31%,1.2937
08/09/2014,1.2897,1.2942,1.2963,1.2881,-0.42%,1.2897
07/09/2014,1.2952,1.2952,1.2958,1.2949,0.01%,1.2952
05/09/2014,1.2951,1.2943,1.2987,1.2920,0.05%,1.2951
04/09/2014,1.2945,1.3146,1.3155,1.2918,-1.57%,1.2945
03/09/2014,1.3151,1.3130,1.3161,1.3121,0.14%,1.3151
02/09/2014,1.3133,1.3128,1.3139,1.3108,0.04%,1.3133
01/09/2014,1.3128,1.3137,1.3146,1.3117,0.01%,1.3128
31/08/2014,1.3127,1.3137,1.3137,1.3124,-0.05%,1.3127
29/08/2014,1.3133,1.3178,1.3196,1.3130,-0.38%,1.3133
28/08/2014,1.3183,1.3192,1.3220,1.3158,-0.08%,1.3183
27/08/2014,1.3193,1.3167,1.3210,1.3151,0.18%,1.3193
