date,close,osef,osef,osef,osef,close
31/12/2014,53.27,53.87,54.02,52.44,233,53.27
30/12/2014,54.12,53.72,54.32,52.70,218,54.12
29/12/2014,53.61,55.05,55.74,52.90,241,53.61
26/12/2014,54.73,55.86,56.59,54.51,127,54.73
25/12/2014,55.92,55.87,56.05,55.73,-,55.92
24/12/2014,55.84,56.80,57.15,55.07,174,55.84
23/12/2014,57.12,55.39,57.56,55.06,274,57.12
22/12/2014,55.26,57.75,58.53,55.13,277,55.26
19/12/2014,57.13,55.12,58.42,54.42,383,57.13
18/12/2014,54.36,56.17,59.04,54.28,454,54.36
17/12/2014,56.79,55.85,59.27,54.60,340,56.79
16/12/2014,56.26,55.78,57.44,53.94,292,56.26
15/12/2014,56.26,56.90,59.00,55.42,194,56.26
12/12/2014,58.08,59.39,59.79,57.63,161,58.08
11/12/2014,60.19,61.35,61.88,59.20,142,60.19
10/12/2014,61.16,63.41,63.60,60.61,148,61.16
09/12/2014,63.98,63.16,64.35,62.41,99,63.98
08/12/2014,63.21,65.60,65.61,62.94,105,63.21
05/12/2014,65.84,66.80,66.89,65.17,276,65.84
04/12/2014,66.81,67.40,68.22,66.09,237,66.81
03/12/2014,67.38,67.60,68.23,66.80,293,67.38
02/12/2014,66.88,69.24,69.32,66.67,360,66.88
01/12/2014,69.00,66.00,69.54,63.72,504,69.00
28/11/2014,66.15,73.50,73.56,65.69,552,66.15
27/11/2014,68.55,73.54,73.55,67.77,-,68.55
26/11/2014,73.69,73.87,74.48,73.30,258,73.69
25/11/2014,74.09,75.51,76.58,73.71,294,74.09
24/11/2014,75.78,76.62,77.02,75.45,194,75.78
21/11/2014,76.51,76.29,77.83,75.62,275,76.51
20/11/2014,75.85,74.34,76.37,74.20,236,75.85
19/11/2014,74.50,74.26,75.42,73.92,351,74.50
18/11/2014,74.64,75.54,76.48,74.17,188,74.64
17/11/2014,75.66,75.90,76.16,74.75,142,75.66
14/11/2014,75.82,74.31,76.27,73.22,151,75.82
13/11/2014,74.16,76.87,77.09,74.02,189,74.16
12/11/2014,77.15,77.42,77.92,76.60,162,77.15
11/11/2014,77.87,77.21,77.95,76.41,128,77.87
10/11/2014,77.38,78.45,79.80,77.11,111,77.38
07/11/2014,78.65,77.86,79.41,77.47,306,78.65
06/11/2014,77.91,78.87,78.98,77.12,292,77.91
05/11/2014,78.68,77.36,79.35,76.46,447,78.68
04/11/2014,77.19,78.22,78.41,75.84,432,77.19
03/11/2014,78.78,80.59,80.98,78.08,386,78.78
31/10/2014,80.54,81.04,81.27,79.55,294,80.54
30/10/2014,81.12,81.93,82.09,80.72,270,81.12
29/10/2014,82.20,81.55,82.88,81.44,283,82.20
28/10/2014,81.42,80.64,81.66,80.36,226,81.42
27/10/2014,81.00,81.27,81.29,79.44,285,81.00
24/10/2014,81.01,81.95,81.95,80.36,272,81.01
23/10/2014,82.09,80.42,82.37,80.05,354,82.09
22/10/2014,80.52,82.55,83.15,80.22,352,80.52
21/10/2014,82.49,81.86,83.26,81.57,297,82.49
20/10/2014,81.91,82.39,82.73,80.78,301,81.91
17/10/2014,82.06,82.40,83.74,81.75,217,82.06
16/10/2014,81.95,80.37,84.08,79.10,259,81.95
15/10/2014,80.94,81.73,81.76,79.38,261,80.94
14/10/2014,81.20,84.12,84.78,80.68,268,81.20
