Date,Open,High,Low,Close,Volume,Adj Close
2014-12-30,9883.09961,9886.78027,9805.5498,9805.5498,000,9805.5498
2014-12-29,9914.87012,9927.84961,9775.4502,9927.12988,000,9927.12988
2014-12-23,9887.24023,9922.11035,9848.05957,9922.11035,000,9922.11035
2014-12-22,9827.25977,9924.00977,9826.5498,9865.75977,000,9865.75977
2014-12-19,9901.25977,9901.25977,9688.66016,9786.95996,173452900,9786.95996
2014-12-18,9711.61035,9811.05957,9671.17969,9811.05957,121015600,9811.05957
2014-12-17,9455.74023,9589.25,9429.40039,9544.42969,102078900,9544.42969
2014-12-16,9366.55957,9567.08984,9219.0498,9563.88965,171052400,9563.88965
2014-12-15,9599.82031,9678.25977,9330.99023,9334.00977,112718700,9334.00977
2014-12-12,9794.2002,9799.65039,9586.21973,9594.73047,94544800,9594.73047
2014-12-11,9770.66016,9907.82031,9763.41016,9862.53027,98963300,9862.53027
2014-12-10,9859.78027,9909.38965,9775.38965,9799.73047,88531300,9799.73047
2014-12-09,9904.58008,9951.66016,9786.37988,9793.70996,110063600,9793.70996
2014-12-08,10060.91016,10084.9502,10014.99023,10014.99023,68931200,10014.99023
2014-12-05,9931.95996,10093.03027,9929.46973,10087.12012,93445100,10087.12012
2014-12-04,9998.84961,10083.74023,9835.41992,9851.34961,119705200,9851.34961
2014-12-03,9978.88965,9993.84961,9930.53027,9971.79004,83605000,9971.79004
2014-12-02,9983.79004,10038.20996,9910.20996,9934.08008,86630800,9934.08008
2014-12-01,9915.74023,9979.08008,9906.41992,9963.50977,97092800,9963.50977
2014-11-28,9990.7002,9990.7002,9902.40039,9980.84961,98906800,9980.84961
2014-11-27,9934.78027,9992.66992,9920.86035,9974.87012,84700200,9974.87012
2014-11-26,9894.59961,9942.66992,9868.34961,9915.55957,89124300,9915.55957
2014-11-25,9790.03027,9921.45996,9787.25977,9861.20996,117773900,9861.20996
2014-11-24,9722.30957,9832.41016,9711.76953,9785.54004,97612300,9785.54004
2014-11-21,9521.24023,9736.13965,9508.16992,9732.5498,166634400,9732.5498
2014-11-20,9460.40039,9487.69043,9382.23047,9483.96973,82097800,9483.96973
2014-11-19,9462.0498,9521.73047,9439.16016,9472.7998,73153500,9472.7998
2014-11-18,9323.75,9461.53027,9323.51953,9456.53027,73982400,9456.53027
2014-11-17,9162.26953,9331.32031,9161.59961,9306.34961,72034400,9306.34961
2014-11-14,9272.36035,9284.12988,9184.45996,9252.94043,76730500,9252.94043
2014-11-13,9260.53027,9311.00,9170.28027,9248.50977,82312000,9248.50977
2014-11-12,9339.67969,9359.37012,9189.62988,9210.95996,93733900,9210.95996
2014-11-11,9374.36035,9400.90039,9324.76953,9369.03027,79810300,9369.03027
2014-11-10,9233.87012,9351.87012,9222.57031,9351.87012,71162800,9351.87012
2014-11-07,9406.16016,9414.32031,9239.11035,9291.83008,104437000,9291.83008
2014-11-06,9284.96973,9467.36035,9268.62988,9377.41016,124002400,9377.41016
2014-11-05,9238.07031,9329.07031,9226.33984,9315.48047,81034800,9315.48047
2014-11-04,9244.08984,9317.91992,9148.78027,9166.46973,90365900,9166.46973
2014-11-03,9305.73047,9343.63965,9236.17969,9251.7002,79777600,9251.7002
2014-10-31,9283.40039,9339.33008,9217.00,9326.87012,123211200,9326.87012
2014-10-30,9091.12988,9146.9502,8899.90039,9114.83984,119733200,9114.83984
2014-10-29,9139.00,9157.62988,9072.63965,9082.80957,89708100,9082.80957
2014-10-28,8983.05957,9077.88965,8968.58984,9068.19043,78580500,9068.19043
2014-10-27,9080.7998,9085.63965,8837.66016,8902.61035,111764500,8902.61035
2014-10-24,9008.59961,9044.84961,8955.58984,8987.7998,98966500,8987.7998
2014-10-23,8873.54004,9068.12012,8820.88965,9047.30957,108376900,9047.30957
2014-10-22,8934.54004,8957.16016,8861.44043,8940.13965,97874300,8940.13965
2014-10-21,8693.05957,8889.78027,8644.70996,8886.95996,118317300,8886.95996
2014-10-20,8819.25977,8834.73047,8682.58984,8717.75977,103016000,8717.75977
2014-10-17,8629.16016,8850.26953,8588.41992,8850.26953,181971200,8850.26953
2014-10-16,8623.28027,8662.86035,8354.96973,8582.90039,224468500,8582.90039
2014-10-15,8838.67969,8847.84961,8555.73047,8571.9502,153532200,8571.9502
2014-10-14,8765.36035,8854.38965,8701.44043,8825.20996,116078300,8825.20996
2014-10-13,8703.84961,8872.40039,8699.59961,8812.42969,112875000,8812.42969
2014-10-10,8924.58008,8958.66016,8788.20996,8788.80957,162566100,8788.80957
2014-10-09,9082.66016,9140.29004,8975.05957,9005.01953,104101300,9005.01953
2014-10-08,9027.90039,9064.87988,8960.42969,8995.33008,112047000,8995.33008
2014-10-07,9164.76953,9170.24023,9080.34961,9086.20996,105001700,9086.20996
2014-10-06,9341.0498,9343.65039,9185.86035,9209.50977,103676300,9209.50977
2014-10-02,9363.28027,9412.62012,9195.67969,9195.67969,122375300,9195.67969
2014-10-01,9454.04004,9520.96973,9357.5498,9382.03027,83526600,9382.03027
2014-09-30,9446.80957,9495.00,9404.88965,9474.2998,89859600,9474.2998
2014-09-29,9495.58008,9504.98047,9369.62012,9422.91016,77424800,9422.91016
2014-09-26,9500.5498,9545.33984,9454.87988,9490.5498,83499600,9490.5498
2014-09-25,9644.36035,9718.11035,9482.54004,9510.00977,97697000,9510.00977
2014-09-24,9598.76953,9669.4502,9534.76953,9661.96973,85850600,9661.96973
2014-09-23,9713.40039,9719.66016,9589.03027,9595.03027,88196000,9595.03027
2014-09-22,9748.53027,9812.76953,9735.69043,9749.54004,73981000,9749.54004
2014-09-19,9849.42969,9891.2002,9799.24023,9799.25977,195350400,9799.25977
2014-09-18,9703.09961,9798.12988,9686.42969,9798.12988,81235700,9798.12988
2014-09-17,9672.98047,9695.44043,9649.99023,9661.50,67216900,9661.50
2014-09-16,9644.28027,9644.87988,9588.65039,9632.92969,62265100,9632.92969
2014-09-15,9603.96973,9682.45996,9600.15039,9659.62988,55750900,9659.62988
2014-09-12,9706.58984,9706.58984,9617.7002,9651.12988,52625100,9651.12988
2014-09-11,9729.88965,9732.83008,9630.66992,9691.28027,62050300,9691.28027
2014-09-10,9672.4502,9723.08008,9635.50,9700.16992,62415400,9700.16992
2014-09-09,9737.55957,9769.20996,9695.44043,9710.7002,57197900,9710.7002
2014-09-08,9767.90039,9773.7002,9721.70996,9758.03027,53013300,9758.03027
2014-09-05,9714.24023,9774.65039,9691.44043,9747.01953,77345000,9747.01953
2014-09-04,9591.42969,9732.78027,9539.91992,9724.25977,106652400,9724.25977
2014-09-03,9541.01953,9683.09961,9528.71973,9626.49023,90121000,9626.49023
2014-09-02,9525.15039,9578.50,9485.24023,9507.01953,55157400,9507.01953
2014-09-01,9484.53027,9500.2002,9424.78027,9479.03027,43071900,9479.03027
2014-08-29,9483.41992,9517.9502,9369.40039,9470.16992,68471200,9470.16992
2014-08-28,9545.20996,9546.80957,9417.16016,9462.55957,72124500,9462.55957
2014-08-27,9583.98047,9600.84961,9546.5498,9569.70996,69031300,9569.70996
2014-08-26,9481.55957,9591.71973,9446.37012,9588.15039,66737100,9588.15039
2014-08-25,9456.66992,9510.13965,9424.11035,9510.13965,53554100,9510.13965
2014-08-22,9390.29004,9414.38965,9291.92969,9339.16992,70036600,9339.16992
2014-08-21,9328.70996,9405.92969,9278.86035,9401.53027,67874900,9401.53027
2014-08-20,9329.88965,9333.67969,9247.83984,9314.57031,63229700,9314.57031
2014-08-19,9276.19043,9350.26953,9276.17969,9334.28027,57793200,9334.28027
2014-08-18,9220.99023,9261.65039,9195.11035,9245.33008,63822100,9245.33008
2014-08-15,9239.00,9324.57031,9067.58008,9092.59961,110261800,9092.59961
2014-08-14,9161.80957,9265.91992,9149.41016,9225.09961,80394300,9225.09961
2014-08-13,9133.83984,9213.61035,9118.15039,9198.87988,82251600,9198.87988
