Date,Open,High,Low,Close,Volume,Adj Close
2007-11-14,149.22,149.40,146.78,147.67,230558800,126.66
2007-11-13,145.37,148.31,145.22,148.08,191117400,127.02
2007-11-12,145.21,146.61,143.70,143.70,243087800,123.26
2007-11-09,145.69,147.54,144.89,145.14,277745100,124.49
2007-11-08,147.99,148.40,145.07,147.16,374509900,126.23
2007-11-07,150.44,151.13,147.55,147.91,306639700,126.87
2007-11-06,150.86,152.11,149.90,152.07,177800500,130.44
2007-11-05,149.64,151.16,148.97,150.05,226841000,128.71
2007-11-02,151.53,152.00,149.21,151.20,331228200,129.69
2007-11-01,153.29,153.41,150.59,151.03,333040800,129.55
2007-10-31,153.98,155.27,152.84,154.65,220954400,132.65
2007-10-30,153.45,153.75,152.87,153.06,132981600,131.29
2007-10-29,153.93,154.44,153.55,154.13,106841000,132.20
2007-10-26,153.06,153.62,151.90,153.62,176484000,131.77
2007-10-25,151.65,152.29,149.88,151.84,237374500,130.24
2007-10-24,151.21,151.74,148.84,151.48,326694200,129.93
2007-10-23,151.46,151.95,150.25,151.76,180085100,130.17
2007-10-22,148.86,150.76,148.66,150.54,261989800,129.13
2007-10-19,153.09,156.48,149.66,149.67,297169900,128.38
2007-10-18,153.45,154.19,153.08,153.69,148367500,131.83
2007-10-17,154.98,155.09,152.47,154.25,216687300,132.31
2007-10-16,154.41,154.52,153.47,153.78,166525700,131.90
2007-10-15,156.27,156.36,153.94,155.01,161151900,132.96
2007-10-12,155.46,156.35,155.27,156.33,124546700,134.09
2007-10-11,156.93,157.52,154.54,155.47,233529100,133.35
2007-10-10,156.04,156.44,155.41,156.22,101711100,134.00
2007-10-09,155.60,156.50,155.03,156.48,94054300,134.22
2007-10-08,155.39,155.49,154.77,155.02,71280400,132.97
2007-10-05,155.03,156.10,154.63,155.85,134579700,133.68
2007-10-04,154.11,154.26,153.59,154.02,76864400,132.11
2007-10-03,153.81,154.41,153.01,153.78,119055900,131.90
2007-10-02,154.61,154.65,153.81,154.09,112978800,132.17
2007-10-01,152.60,154.75,152.50,154.30,148162300,132.35
2007-09-28,152.85,153.19,151.98,152.58,133372100,130.88
2007-09-27,152.91,153.10,152.19,153.09,102713300,131.31
2007-09-26,152.25,152.77,151.39,152.19,135547000,130.54
2007-09-25,150.81,151.66,150.47,151.39,142289900,129.85
2007-09-24,152.42,152.82,151.36,151.69,139450200,130.11
2007-09-21,152.71,153.12,151.74,151.97,141457500,130.35
2007-09-20,153.34,153.43,152.11,152.28,175186800,130.00
2007-09-19,153.41,154.39,152.71,153.36,193779900,130.92
2007-09-18,148.83,152.50,148.13,152.46,263759500,130.16
2007-09-17,148.31,148.65,147.63,148.10,109870800,126.43
