Date,24h Average,Ask,Bid,Last,Total Volume
2014-09-01,479.95,482.02,480.61,481.58,21520.37
2014-08-31,491.16,480.63,480.23,481.0,72254.08
2014-08-30,505.44,501.33,500.69,501.37,11404.63
2014-08-29,508.73,509.15,508.64,508.65,16826.56
2014-08-28,512.33,507.82,507.27,508.0,19030.17
2014-08-27,515.9,515.46,514.48,514.41,20552.4
2014-08-26,508.63,510.03,509.38,509.46,23554.3
2014-08-25,504.92,504.2,503.62,505.31,19354.83
2014-08-24,504.48,511.41,510.04,510.94,17970.2
2014-08-23,507.06,499.6,498.62,499.98,23945.38
2014-08-22,514.54,517.78,517.02,517.73,38928.49
2014-08-21,520.26,523.42,522.61,521.42,45465.93
2014-08-20,487.27,509.55,509.36,508.77,43439.47
2014-08-19,471.39,480.48,479.49,479.85,38426.74
2014-08-18,475.66,452.86,451.68,453.27,68323.44
2014-08-17,506.6,489.89,489.55,490.67,21062.18
2014-08-16,500.43,518.8,517.48,518.37,23053.95
2014-08-15,506.9,497.05,496.47,497.51,32318.34
2014-08-14,520.16,505.66,505.15,506.4,54483.97
2014-08-13,554.48,543.69,542.82,544.83,32388.31
2014-08-12,571.95,569.47,568.83,569.54,14894.58
2014-08-11,586.69,575.63,574.6,575.31,14133.37
2014-08-10,591.23,590.37,589.29,590.14,4456.42
2014-08-09,590.21,590.1,589.42,590.64,5831.66
2014-08-08,592.38,593.99,592.94,593.8,8387.43
2014-08-07,586.23,590.32,589.67,588.76,12024.46
2014-08-06,587.2,585.53,584.93,585.89,8909.07
2014-08-04,586.85,588.03,587.65,587.91,7460.06
2014-08-02,592.0,594.71,593.77,592.3,16097.09
2014-07-31,572.32,586.51,585.27,585.73,22418.06
2014-07-30,579.46,563.65,562.36,565.12,13698.84
2014-07-29,584.63,585.57,584.45,586.22,9353.81
2014-07-28,583.18,586.49,585.62,586.9,20330.17
2014-07-27,595.55,594.8,594.13,594.77,5843.82
2014-07-26,597.6,595.89,595.62,596.46,9102.94
2014-07-25,601.3,601.56,600.59,601.79,9607.14
2014-07-24,611.12,598.78,598.4,600.07,19769.88
2014-07-23,622.7,620.68,619.66,619.72,9990.84
2014-07-22,623.47,622.11,620.91,622.78,9069.16
2014-07-21,621.58,622.23,621.12,622.33,11683.66
2014-07-20,628.38,624.34,622.84,625.07,5659.38
2014-07-19,628.67,631.04,629.86,631.27,6944.6
2014-07-18,627.85,628.79,627.71,628.01,12837.8
2014-07-17,619.67,624.79,624.16,623.2,16535.62
2014-07-16,620.75,617.57,616.92,617.34,12954.49
2014-07-15,624.03,623.75,622.19,622.57,10681.79
2014-07-14,623.86,622.44,621.47,622.1,11172.81
2014-07-13,631.93,629.51,628.56,629.14,9270.69
2014-07-12,633.74,634.47,634.27,634.84,11061.83
2014-07-11,623.06,632.86,631.39,632.87,14109.01
2014-07-10,620.52,618.46,617.15,618.24,15881.03
2014-07-09,625.92,626.36,625.57,625.98,9182.95
2014-07-08,624.1,627.18,625.79,626.62,9236.66
2014-07-07,629.41,622.83,621.41,622.62,17781.89
2014-07-06,634.6,634.14,633.21,633.68,9548.11
2014-07-05,630.65,629.25,628.02,628.8,8405.03
2014-07-04,639.31,630.65,628.69,630.09,19834.83
2014-07-03,645.99,641.89,640.51,641.74,16063.34
2014-07-02,646.26,648.06,647.07,647.44,23584.86
2014-07-01,649.27,648.09,646.45,648.11,39215.96
2014-06-30,617.13,639.73,638.31,639.1,53279.49
2014-06-29,596.05,595.67,594.84,595.3,7059.13
2014-06-28,597.36,599.23,597.22,599.28,19482.74
2014-06-27,583.63,584.87,583.75,582.74,22401.77
2014-06-26,571.09,574.71,573.79,574.0,18094.51
2014-06-25,572.8,565.11,563.94,563.92,29639.09
2014-06-24,591.72,588.56,587.73,587.86,13682.55
2014-06-23,593.12,591.1,589.2,590.25,16587.66
2014-06-22,600.69,600.55,599.3,600.6,13588.58
2014-06-21,593.09,594.93,593.36,593.94,11649.77
2014-06-20,594.26,594.74,592.84,593.73,25992.73
2014-06-19,606.64,598.09,597.23,597.87,17046.04
2014-06-18,609.5,607.22,606.67,607.06,24293.0
2014-06-17,597.98,609.78,608.36,610.21,21724.16
2014-06-16,595.47,597.14,596.1,596.15,44106.91
2014-06-15,565.11,573.2,570.63,571.12,28182.63
2014-06-14,579.32,564.0,561.96,563.92,50821.8
2014-06-13,596.95,597.07,594.86,596.9,74246.61
2014-06-12,628.19,590.35,588.03,588.68,49499.69
2014-06-11,646.77,631.16,629.53,629.54,26447.09
2014-06-10,652.74,652.96,651.74,652.33,20280.92
2014-06-09,650.61,647.2,645.85,647.78,21265.3
2014-06-08,656.03,655.72,655.11,655.78,9171.53
2014-06-07,652.69,655.8,654.7,654.44,18518.36
2014-06-06,656.6,654.13,653.35,653.7,19596.89
2014-06-05,650.5,660.4,657.99,660.28,31303.66
2014-06-04,643.51,643.76,642.87,644.15,44000.64
2014-06-01,641.14,644.74,642.1,643.12,52941.8
2014-05-31,615.78,619.94,617.78,618.16,17554.65
2014-05-30,595.52,621.51,620.22,620.08,36536.78
2014-05-29,568.37,569.05,567.75,568.01,25857.58
2014-05-28,571.79,571.31,569.66,570.33,25077.11
2014-05-27,574.33,575.03,574.48,574.9,52429.3
2014-05-26,578.68,581.31,580.06,580.65,41675.68
2014-05-25,555.87,568.75,567.41,567.09,67112.16
2014-05-24,520.29,523.99,522.77,523.26,17899.12
2014-05-23,527.62,525.78,524.33,524.57,53566.37
2014-05-22,505.79,523.6,522.17,522.51,46622.91
2014-05-21,490.77,491.75,490.58,491.04,24152.08
2014-05-20,461.12,484.12,482.57,482.65,68580.21
2014-05-19,444.39,445.27,444.7,444.5,10817.9
2014-05-18,445.52,444.93,444.32,444.55,4559.27
2014-05-17,448.18,446.9,445.89,447.12,4603.01
2014-05-16,447.03,448.47,447.33,447.88,9865.7
2014-05-15,446.67,447.28,446.27,446.88,13519.91
2014-05-14,443.19,447.09,446.74,446.3,15042.94
2014-05-13,439.4,439.92,438.84,440.2,13440.57
2014-05-12,438.62,441.46,440.45,440.33,12699.49
2014-05-11,446.17,437.35,436.82,437.76,26384.69
2014-05-10,450.9,453.3,452.65,453.32,8854.27
2014-05-08,442.04,440.41,439.09,439.76,17584.12
2014-05-07,434.86,443.57,442.95,443.09,32923.35
2014-05-06,429.04,429.55,427.92,428.47,22979.45
2014-05-05,432.45,431.81,431.32,432.37,19664.01
2014-05-04,434.79,435.49,434.57,435.17,10398.82
2014-05-03,441.96,438.62,437.8,438.59,20035.97
2014-05-02,449.92,447.6,446.66,447.93,17763.22
2014-05-01,453.18,458.32,456.47,457.12,23841.5
2014-04-30,445.32,448.05,446.85,447.41,25256.94
2014-04-29,443.7,445.35,444.56,444.38,30219.54
2014-04-28,436.1,445.44,444.31,445.36,44436.61
2014-04-27,453.46,444.4,443.65,443.92,18120.15
2014-04-26,456.6,458.05,457.05,457.44,21931.97
2014-04-25,466.8,461.32,460.35,460.89,82647.18
2014-04-24,488.78,496.1,495.23,495.11,16728.18
2014-04-23,488.63,490.45,489.71,490.54,15586.34
2014-04-22,493.34,487.68,485.91,487.74,19330.23
2014-04-21,499.55,494.27,493.52,494.48,23640.75
2014-04-20,501.7,495.93,494.22,495.12,16730.35
2014-04-19,491.08,502.5,501.56,502.11,30558.57
2014-04-18,485.42,,,,32004.42
2014-04-17,504.83,502.44,501.63,502.89,57953.96
2014-04-16,515.49,534.38,532.78,533.07,88542.05
2014-04-15,486.85,494.04,492.92,492.36,81578.85
2014-04-14,445.59,,,,94188.12
2014-04-13,415.41,,,,47557.75
2014-04-12,424.79,,,,39776.88
2014-04-11,403.02,,,,131367.54
2014-04-10,408.25,,,,135210.85
2014-04-09,449.19,,,,23264.93
2014-04-08,452.2,,,,18278.9
2014-04-07,454.27,,,,28821.66
2014-04-06,460.59,,,,16659.23
2014-04-05,453.05,,,,22202.22
2014-04-04,444.67,,,,39286.65
2014-04-03,434.93,,,,74799.24
2014-04-02,467.04,,,,97003.55
2014-04-01,476.87,,,,63306.79
2014-03-31,458.09,,,,59826.55
2014-03-30,471.09,,,,80698.83
2014-03-29,500.07,,,,16356.33
2014-03-28,503.01,,,,91621.98
2014-03-27,543.82,,,,109159.77
2014-03-26,581.52,,,,22495.02
2014-03-25,578.68,,,,18790.04
2014-03-24,564.73,,,,30156.82
2014-03-23,565.22,,,,13391.03
2014-03-22,564.65,,,,24897.92
2014-03-21,583.54,,,,52998.17
2014-03-20,589.44,,,,28301.72
2014-03-19,611.73,,,,16447.26
2014-03-18,615.01,,,,31447.73
2014-03-17,623.53,,,,17963.53
2014-03-16,631.25,,,,8366.2
2014-03-15,636.21,,,,6803.49
2014-03-14,628.58,,,,18946.23
2014-03-13,637.79,,,,18036.5
2014-03-12,632.34,,,,29628.12
2014-03-11,633.59,,,,18562.57
2014-03-10,627.14,,,,32750.42
2014-03-09,639.43,,,,24236.44
2014-03-08,619.6,,,,30236.41
2014-03-07,629.34,,,,54257.53
2014-03-06,662.57,,,,24348.76
2014-03-05,665.21,,,,33744.66
2014-03-04,668.28,,,,82883.68
2014-03-03,664.47,,,,143857.44
2014-03-02,555.06,,,,14204.37
2014-03-01,566.61,,,,32891.13
2014-02-28,550.46,,,,51151.03
2014-02-27,581.38,,,,44204.55
2014-02-26,584.61,,,,110551.05
2014-02-25,534.45,,,,237300.42
2014-02-24,547.09,,,,106498.99
2014-02-23,608.41,,,,52166.54
2014-02-22,599.38,,,,51923.57
2014-02-21,572.19,,,,82281.2
2014-02-20,561.11,,,,84532.03
2014-02-19,622.97,,,,22216.79
2014-02-18,624.72,,,,32018.5
2014-02-17,626.5,,,,50938.53
2014-02-16,616.21,,,,65059.82
2014-02-15,651.9,,,,40860.73
2014-02-14,662.32,,,,154492.4
2014-02-13,612.75,,,,64193.68
2014-02-12,654.43,,,,38785.54
2014-02-11,666.46,,,,107912.78
2014-02-10,676.76,,,,166214.54
2014-02-09,682.23,,,,57449.77
2014-02-08,670.33,,,,55535.44
2014-02-07,717.83,,,,161328.03
2014-02-06,780.31,,,,63977.3
2014-02-05,819.26,,,,27792.53
2014-02-04,827.99,,,,20056.54
2014-02-03,823.46,,,,16957.35
2014-02-02,825.2,,,,13672.78
2014-02-01,835.89,,,,23624.54
2014-01-31,828.59,,,,20596.43
2014-01-30,817.87,,,,36533.65
2014-01-29,826.39,,,,21468.23
2014-01-28,816.7,,,,55294.71
2014-01-27,766.78,,,,64094.28
2014-01-26,883.38,,,,36357.04
2014-01-25,851.38,,,,29263.69
2014-01-24,797.71,,,,43853.92
2014-01-23,822.17,,,,18944.62
2014-01-22,845.83,,,,21868.39
2014-01-21,867.11,,,,21412.07
2014-01-20,875.4,,,,31563.81
2014-01-19,861.84,,,,28215.05
2014-01-18,839.19,,,,21406.37
2014-01-17,813.31,,,,47884.43
2014-01-16,838.21,,,,23002.56
2014-01-15,862.07,,,,32649.46
2014-01-14,835.78,,,,24985.16
2014-01-13,844.98,,,,54144.11
2014-01-12,834.12,,,,44586.99
2014-01-11,865.96,,,,39706.11
2014-01-10,912.61,,,,54529.02
2014-01-09,837.04,,,,62614.05
